Fecha;Año;País;Distribuidor;Marca;Operador;Cantidad;Venta parcial 1;Venta parcial 2;Venta parcial 3;Venta promedio;Precio;Total;Columna1;Columna2;;País;Distribuidor;Marca;Operador;Cantidad;Venta parcial 1;Venta parcial 2;Venta parcial 3;Venta promedio;Precio;;;;Total;País;Distribuidor;Marca;Operador
5/8/2024;2024;Canadá;Metro;Samsung;Movistar;211;64;56;91;70; $ 15,00 ; $ 3.165 ; ????;|||||||||||||||;;;;;;;;;;;;;;;;Canadá;Metro;Samsung;Movistar
7/4/2025;2025;Alemania;Metro;Motorola;Bitel;227;77;88;62;76; $ 15,00 ; $ 3.405,00 ; ????;|||||||||||||||||;;;;;;;;;;;;;;;;Alemania;Oeschle;Motorola;Bitel
28/7/2024;2024;Brasil;Metro;Apple;Tuenti;61;28;30;3;20; $ 15,00 ; $ 915,00 ; ?;||||;;;;;;;;;;;;;;;;Brasil;Plaza Vea;Apple;Tuenti
3/10/2024;2024;Canadá;Metro;Samsung;Bitel;129;20;60;49;43; $ 15,00 ; $ 1.935,00 ; ?;|||||||||;;;;;;;;;;;;;;;;Inglaterra;Ripley;LG;Entel
11/10/2024;2024;Inglaterra;Metro;Motorola;Movistar;191;74;60;57;64; $ 15,00 ; $ 2.865,00 ; ????;||||||||||||||;;;;;;;;;;;;;;;;Perú;Saga Falabella;Nokia;Claro
21/7/2024;2024;Perú;Metro;LG;Entel;56;20;23;13;19; $ 15,00 ; $ 840,00 ; ?;||||;;CARACTERISTICAS;;;;;;;;;;;;;;Venezuela;Tottus;Huawei;
23/8/2024;2024;Venezuela;Metro;Samsung;Bitel;184;63;89;32;61; $ 15,00 ; $ 2.760,00 ; ????;|||||||||||||;;Cantidad de registros;3000;;;;;;;;;;;;;Guatemala;;;
20/12/2024;2024;Guatemala;Metro;LG;Claro;170;41;55;74;57; $ 15,00 ; $ 2.550,00 ; ????;||||||||||||;;Total de ventas ; $ 6.861.939 ;;;;;;;;;;;;;Suiza;;;
1/3/2025;2025;Suiza;Metro;LG;Movistar;155;30;48;77;52; $ 15,00 ; $ 2.325,00 ; ????;|||||||||||;;total de cantidad;428765;;;;;;;;;;;;;El Salvador;;;
17/7/2024;2024;El Salvador;Metro;Samsung;Tuenti;185;71;56;58;62; $ 15,00 ; $ 2.775,00 ; ????;|||||||||||||;;Promedio de venta ;2287,313;;;;;;;;;;;;;Francia;;;
3/8/2024;2024;Alemania;Metro;Motorola;Entel;90;33;55;2;30; $ 15,00 ; $ 1.350,00 ; ?;||||||;;Promedio de cantidades venidas ;142,9216667;;;;;;;;;;;;;Colombia;;;
29/4/2025;2025;Francia;Metro;Samsung;Bitel;158;45;73;40;53; $ 15,00 ; $ 2.370,00 ; ????;|||||||||||;;Maximo de ventas;4692;;;;;;;;;;;;;Portugal;;;
5/5/2025;2025;Colombia;Metro;Apple;Tuenti;239;64;85;90;80; $ 15,00 ; $ 3.585,00 ; ????;|||||||||||||||||;;Minimo de Ventas;270;;;;;;;;;;;;;Jamaica;;;
18/12/2024;2024;Portugal;Metro;LG;Claro;157;61;92;4;52; $ 15,00 ; $ 2.355,00 ; ????;|||||||||||;;Maximo de cantidad;276;;;;;;;;;;;;;Estados Unidos;;;
23/11/2024;2024;Canadá;Metro;Apple;Tuenti;114;7;69;38;38; $ 15,00 ; $ 1.710,00 ; ?;||||||||;;Minimo de cantidad;16;;;;;;;;;;;;;Paraguay;;;
25/5/2025;2025;Jamaica;Metro;Samsung;Claro;163;44;29;90;54; $ 15,00 ; $ 2.445,00 ; ????;||||||||||||;;;;;;;;;;;;;;;;Uruguay;;;
8/9/2024;2024;Estados Unidos;Metro;LG;Tuenti;169;7;78;84;56; $ 15,00 ; $ 2.535,00 ; ????;||||||||||||;;;;;;;;;;;;;;;;Argentina;;;
17/3/2025;2025;Portugal;Metro;Apple;Tuenti;82;29;13;40;27; $ 15,00 ; $ 1.230,00 ; ?;||||||;;;;;;;;;;;;;;;;Dinamarca;;;
20/6/2024;2024;Paraguay;Metro;Nokia;Entel;124;31;33;60;41; $ 15,00 ; $ 1.860,00 ; ?;|||||||||;;;;;;;;;;;;;;;;México;;;
23/8/2024;2024;Paraguay;Metro;LG;Bitel;88;68;17;3;29; $ 15,00 ; $ 1.320,00 ; ?;||||||;;;;;;;;;;;;;;;;Cuba;;;
21/2/2025;2025;Inglaterra;Metro;Apple;Entel;111;41;13;57;37; $ 15,00 ; $ 1.665,00 ; ?;||||||||;;;;;Xi;ni;Ni;hi;Hi;%hi;%Hi;;;;;Irlanda;;;
11/6/2024;2024;El Salvador;Metro;Samsung;Movistar;100;27;47;26;33; $ 15,00 ; $ 1.500,00 ; ?;|||||||;;;;;Movistar;1450654;1450654;0,2114;0,2114;21,14%;21,14%;;;;;Bolivia;;;
7/5/2025;2025;Uruguay;Metro;Samsung;Bitel;147;48;86;13;49; $ 15,00 ; $ 2.205,00 ; ????;|||||||||||;;;;;Bitel;1350578;2801232;0,1968;0,4082;19,68%;40,82%;;;;;España;;;
25/3/2025;2025;Perú;Metro;Samsung;Entel;125;42;77;6;42; $ 15,00 ; $ 1.875,00 ; ?;|||||||||;;;;;Tuenti;1322417;4123649;0,1927;0,6009;19,27%;60,09%;;;;;Chile;;;
